Fecha,SKU,Tienda Origen,Tienda Destino,Unidades Transferidas
2024-06-18,SKU_79_Marca_1,Tienda_1_Marca_1,Tienda_17_Marca_1,7
2024-06-18,SKU_81_Marca_1,Tienda_4_Marca_1,Tienda_17_Marca_1,1
2024-06-18,SKU_1_Marca_1,Tienda_2_Marca_1,Tienda_18_Marca_1,2
2024-06-18,SKU_47_Marca_1,Tienda_5_Marca_1,Tienda_18_Marca_1,10
2024-06-18,SKU_50_Marca_1,Tienda_2_Marca_1,Tienda_18_Marca_1,1
2024-06-18,SKU_62_Marca_1,Tienda_1_Marca_1,Tienda_18_Marca_1,3
2024-06-18,SKU_71_Marca_1,Tienda_3_Marca_1,Tienda_18_Marca_1,8
2024-06-18,SKU_79_Marca_1,Tienda_3_Marca_1,Tienda_18_Marca_1,4
2024-06-18,SKU_1_Marca_1,Tienda_5_Marca_1,Tienda_19_Marca_1,4
2024-06-18,SKU_10_Marca_1,Tienda_4_Marca_1,Tienda_19_Marca_1,1
2024-06-18,SKU_32_Marca_1,Tienda_2_Marca_1,Tienda_19_Marca_1,1
2024-06-18,SKU_44_Marca_1,Tienda_1_Marca_1,Tienda_19_Marca_1,3
2024-06-18,SKU_47_Marca_1,Tienda_2_Marca_1,Tienda_19_Marca_1,6
2024-06-18,SKU_50_Marca_1,Tienda_1_Marca_1,Tienda_19_Marca_1,7
2024-06-18,SKU_71_Marca_1,Tienda_6_Marca_1,Tienda_19_Marca_1,12
2024-06-18,SKU_79_Marca_1,Tienda_4_Marca_1,Tienda_19_Marca_1,4
2024-06-18,SKU_81_Marca_1,Tienda_6_Marca_1,Tienda_19_Marca_1,1
2024-06-18,SKU_1_Marca_1,Tienda_3_Marca_1,Tienda_20_Marca_1,3
2024-06-18,SKU_10_Marca_1,Tienda_1_Marca_1,Tienda_20_Marca_1,6
2024-06-18,SKU_32_Marca_1,Tienda_1_Marca_1,Tienda_20_Marca_1,4
2024-06-18,SKU_44_Marca_1,Tienda_1_Marca_1,Tienda_20_Marca_1,13
2024-06-18,SKU_47_Marca_1,Tienda_4_Marca_1,Tienda_20_Marca_1,8
2024-06-18,SKU_50_Marca_1,Tienda_2_Marca_1,Tienda_20_Marca_1,13
2024-06-18,SKU_71_Marca_1,Tienda_9_Marca_1,Tienda_20_Marca_1,12
2024-06-18,SKU_79_Marca_1,Tienda_6_Marca_1,Tienda_20_Marca_1,4
2024-06-18,SKU_6_Marca_2,Tienda_4_Marca_2,Tienda_11_Marca_2,2
2024-06-18,SKU_6_Marca_2,Tienda_4_Marca_2,Tienda_12_Marca_2,1
2024-06-18,SKU_40_Marca_2,Tienda_1_Marca_2,Tienda_12_Marca_2,4
2024-06-18,SKU_61_Marca_2,Tienda_8_Marca_2,Tienda_12_Marca_2,2
2024-06-18,SKU_6_Marca_2,Tienda_5_Marca_2,Tienda_13_Marca_2,2
2024-06-18,SKU_61_Marca_2,Tienda_2_Marca_2,Tienda_13_Marca_2,5
2024-06-18,SKU_40_Marca_2,Tienda_5_Marca_2,Tienda_14_Marca_2,5
2024-06-18,SKU_46_Marca_2,Tienda_7_Marca_2,Tienda_14_Marca_2,7
2024-06-18,SKU_40_Marca_2,Tienda_7_Marca_2,Tienda_15_Marca_2,6
2024-06-18,SKU_49_Marca_2,Tienda_1_Marca_2,Tienda_15_Marca_2,6
2024-06-18,SKU_61_Marca_2,Tienda_3_Marca_2,Tienda_15_Marca_2,4
2024-06-18,SKU_6_Marca_2,Tienda_7_Marca_2,Tienda_16_Marca_2,1
2024-06-18,SKU_46_Marca_2,Tienda_10_Marca_2,Tienda_16_Marca_2,7
2024-06-18,SKU_49_Marca_2,Tienda_2_Marca_2,Tienda_16_Marca_2,4
2024-06-18,SKU_58_Marca_2,Tienda_2_Marca_2,Tienda_16_Marca_2,3
2024-06-18,SKU_76_Marca_2,Tienda_4_Marca_2,Tienda_16_Marca_2,1
2024-06-18,SKU_91_Marca_2,Tienda_4_Marca_2,Tienda_16_Marca_2,1
2024-06-18,SKU_6_Marca_2,Tienda_7_Marca_2,Tienda_17_Marca_2,1
2024-06-18,SKU_40_Marca_2,Tienda_12_Marca_2,Tienda_17_Marca_2,6
2024-06-18,SKU_53_Marca_2,Tienda_2_Marca_2,Tienda_17_Marca_2,6
2024-06-18,SKU_58_Marca_2,Tienda_1_Marca_2,Tienda_17_Marca_2,3
2024-06-18,SKU_61_Marca_2,Tienda_1_Marca_2,Tienda_17_Marca_2,2
2024-06-18,SKU_76_Marca_2,Tienda_5_Marca_2,Tienda_17_Marca_2,7
2024-06-18,SKU_91_Marca_2,Tienda_4_Marca_2,Tienda_17_Marca_2,5
2024-06-18,SKU_40_Marca_2,Tienda_1_Marca_2,Tienda_18_Marca_2,3
2024-06-18,SKU_46_Marca_2,Tienda_1_Marca_2,Tienda_18_Marca_2,3
2024-06-18,SKU_49_Marca_2,Tienda_3_Marca_2,Tienda_18_Marca_2,4
2024-06-18,SKU_58_Marca_2,Tienda_2_Marca_2,Tienda_18_Marca_2,6
2024-06-18,SKU_61_Marca_2,Tienda_8_Marca_2,Tienda_18_Marca_2,5
2024-06-18,SKU_76_Marca_2,Tienda_7_Marca_2,Tienda_18_Marca_2,7
2024-06-18,SKU_91_Marca_2,Tienda_5_Marca_2,Tienda_18_Marca_2,5
2024-06-18,SKU_39_Marca_2,Tienda_14_Marca_2,Tienda_19_Marca_2,1
2024-06-18,SKU_46_Marca_2,Tienda_2_Marca_2,Tienda_19_Marca_2,5
2024-06-18,SKU_49_Marca_2,Tienda_6_Marca_2,Tienda_19_Marca_2,8
2024-06-18,SKU_53_Marca_2,Tienda_3_Marca_2,Tienda_19_Marca_2,13
2024-06-18,SKU_58_Marca_2,Tienda_3_Marca_2,Tienda_19_Marca_2,5
2024-06-18,SKU_73_Marca_2,Tienda_1_Marca_2,Tienda_19_Marca_2,4
2024-06-18,SKU_76_Marca_2,Tienda_10_Marca_2,Tienda_19_Marca_2,7
2024-06-18,SKU_91_Marca_2,Tienda_10_Marca_2,Tienda_19_Marca_2,6
2024-06-18,SKU_14_Marca_2,Tienda_1_Marca_2,Tienda_20_Marca_2,8
2024-06-18,SKU_39_Marca_2,Tienda_14_Marca_2,Tienda_20_Marca_2,5
2024-06-18,SKU_46_Marca_2,Tienda_3_Marca_2,Tienda_20_Marca_2,3
2024-06-18,SKU_49_Marca_2,Tienda_4_Marca_2,Tienda_20_Marca_2,4
2024-06-18,SKU_51_Marca_2,Tienda_1_Marca_2,Tienda_20_Marca_2,3
2024-06-18,SKU_53_Marca_2,Tienda_1_Marca_2,Tienda_20_Marca_2,5
2024-06-18,SKU_58_Marca_2,Tienda_4_Marca_2,Tienda_20_Marca_2,4
2024-06-18,SKU_73_Marca_2,Tienda_1_Marca_2,Tienda_20_Marca_2,4
2024-06-18,SKU_76_Marca_2,Tienda_8_Marca_2,Tienda_20_Marca_2,6
2024-06-18,SKU_91_Marca_2,Tienda_12_Marca_2,Tienda_20_Marca_2,6
2024-06-18,SKU_7_Marca_3,Tienda_1_Marca_3,Tienda_10_Marca_3,4
2024-06-18,SKU_7_Marca_3,Tienda_3_Marca_3,Tienda_11_Marca_3,6
2024-06-18,SKU_7_Marca_3,Tienda_4_Marca_3,Tienda_12_Marca_3,5
2024-06-18,SKU_7_Marca_3,Tienda_4_Marca_3,Tienda_13_Marca_3,6
2024-06-18,SKU_37_Marca_3,Tienda_2_Marca_3,Tienda_13_Marca_3,5
2024-06-18,SKU_7_Marca_3,Tienda_5_Marca_3,Tienda_14_Marca_3,5
2024-06-18,SKU_37_Marca_3,Tienda_4_Marca_3,Tienda_14_Marca_3,9
2024-06-18,SKU_7_Marca_3,Tienda_1_Marca_3,Tienda_15_Marca_3,1
2024-06-18,SKU_37_Marca_3,Tienda_9_Marca_3,Tienda_15_Marca_3,8
2024-06-18,SKU_37_Marca_3,Tienda_3_Marca_3,Tienda_16_Marca_3,5
2024-06-18,SKU_44_Marca_3,Tienda_7_Marca_3,Tienda_16_Marca_3,2
2024-06-18,SKU_44_Marca_3,Tienda_10_Marca_3,Tienda_17_Marca_3,13
2024-06-18,SKU_7_Marca_3,Tienda_2_Marca_3,Tienda_18_Marca_3,2
2024-06-18,SKU_19_Marca_3,Tienda_2_Marca_3,Tienda_18_Marca_3,7
2024-06-18,SKU_37_Marca_3,Tienda_10_Marca_3,Tienda_18_Marca_3,8
2024-06-18,SKU_44_Marca_3,Tienda_1_Marca_3,Tienda_18_Marca_3,7
2024-06-18,SKU_67_Marca_3,Tienda_1_Marca_3,Tienda_18_Marca_3,7
2024-06-18,SKU_7_Marca_3,Tienda_9_Marca_3,Tienda_19_Marca_3,8
2024-06-18,SKU_19_Marca_3,Tienda_3_Marca_3,Tienda_19_Marca_3,4
2024-06-18,SKU_37_Marca_3,Tienda_2_Marca_3,Tienda_19_Marca_3,2
2024-06-18,SKU_38_Marca_3,Tienda_1_Marca_3,Tienda_19_Marca_3,8
2024-06-18,SKU_44_Marca_3,Tienda_2_Marca_3,Tienda_19_Marca_3,8
2024-06-18,SKU_55_Marca_3,Tienda_1_Marca_3,Tienda_19_Marca_3,1
2024-06-18,SKU_56_Marca_3,Tienda_1_Marca_3,Tienda_19_Marca_3,6
2024-06-18,SKU_67_Marca_3,Tienda_2_Marca_3,Tienda_19_Marca_3,3
2024-06-18,SKU_81_Marca_3,Tienda_1_Marca_3,Tienda_19_Marca_3,1
2024-06-18,SKU_3_Marca_3,Tienda_2_Marca_3,Tienda_20_Marca_3,2
2024-06-18,SKU_7_Marca_3,Tienda_3_Marca_3,Tienda_20_Marca_3,3
2024-06-18,SKU_19_Marca_3,Tienda_4_Marca_3,Tienda_20_Marca_3,6
2024-06-18,SKU_37_Marca_3,Tienda_5_Marca_3,Tienda_20_Marca_3,6
2024-06-18,SKU_44_Marca_3,Tienda_3_Marca_3,Tienda_20_Marca_3,4
2024-06-18,SKU_55_Marca_3,Tienda_1_Marca_3,Tienda_20_Marca_3,3
2024-06-18,SKU_56_Marca_3,Tienda_1_Marca_3,Tienda_20_Marca_3,6
2024-06-18,SKU_67_Marca_3,Tienda_6_Marca_3,Tienda_20_Marca_3,8
2024-06-18,SKU_81_Marca_3,Tienda_1_Marca_3,Tienda_20_Marca_3,5
2024-06-18,SKU_69_Marca_4,Tienda_1_Marca_4,Tienda_3_Marca_4,3
2024-06-18,SKU_13_Marca_4,Tienda_1_Marca_4,Tienda_4_Marca_4,2
2024-06-18,SKU_29_Marca_4,Tienda_1_Marca_4,Tienda_4_Marca_4,5
2024-06-18,SKU_69_Marca_4,Tienda_1_Marca_4,Tienda_4_Marca_4,2
2024-06-18,SKU_69_Marca_4,Tienda_3_Marca_4,Tienda_5_Marca_4,1
2024-06-18,SKU_29_Marca_4,Tienda_4_Marca_4,Tienda_6_Marca_4,10
2024-06-18,SKU_55_Marca_4,Tienda_3_Marca_4,Tienda_6_Marca_4,1
2024-06-18,SKU_13_Marca_4,Tienda_1_Marca_4,Tienda_7_Marca_4,4
2024-06-18,SKU_22_Marca_4,Tienda_1_Marca_4,Tienda_7_Marca_4,1
2024-06-18,SKU_29_Marca_4,Tienda_1_Marca_4,Tienda_7_Marca_4,4
2024-06-18,SKU_32_Marca_4,Tienda_1_Marca_4,Tienda_7_Marca_4,2
2024-06-18,SKU_38_Marca_4,Tienda_1_Marca_4,Tienda_7_Marca_4,10
2024-06-18,SKU_45_Marca_4,Tienda_1_Marca_4,Tienda_7_Marca_4,1
2024-06-18,SKU_69_Marca_4,Tienda_3_Marca_4,Tienda_7_Marca_4,1
2024-06-18,SKU_77_Marca_4,Tienda_4_Marca_4,Tienda_7_Marca_4,5
2024-06-18,SKU_80_Marca_4,Tienda_2_Marca_4,Tienda_7_Marca_4,9
2024-06-18,SKU_2_Marca_4,Tienda_2_Marca_4,Tienda_8_Marca_4,3
2024-06-18,SKU_10_Marca_4,Tienda_1_Marca_4,Tienda_8_Marca_4,2
2024-06-18,SKU_22_Marca_4,Tienda_3_Marca_4,Tienda_8_Marca_4,6
2024-06-18,SKU_29_Marca_4,Tienda_2_Marca_4,Tienda_8_Marca_4,9
2024-06-18,SKU_32_Marca_4,Tienda_2_Marca_4,Tienda_8_Marca_4,14
2024-06-18,SKU_38_Marca_4,Tienda_4_Marca_4,Tienda_8_Marca_4,13
2024-06-18,SKU_45_Marca_4,Tienda_4_Marca_4,Tienda_8_Marca_4,4
2024-06-18,SKU_55_Marca_4,Tienda_1_Marca_4,Tienda_8_Marca_4,4
2024-06-18,SKU_58_Marca_4,Tienda_1_Marca_4,Tienda_8_Marca_4,3
2024-06-18,SKU_77_Marca_4,Tienda_7_Marca_4,Tienda_8_Marca_4,11
2024-06-18,SKU_80_Marca_4,Tienda_5_Marca_4,Tienda_8_Marca_4,9
2024-06-18,SKU_92_Marca_5,Tienda_1_Marca_5,Tienda_4_Marca_5,6
2024-06-18,SKU_1_Marca_5,Tienda_1_Marca_5,Tienda_5_Marca_5,3
2024-06-18,SKU_13_Marca_5,Tienda_3_Marca_5,Tienda_5_Marca_5,3
2024-06-18,SKU_1_Marca_5,Tienda_2_Marca_5,Tienda_6_Marca_5,3
2024-06-18,SKU_1_Marca_5,Tienda_2_Marca_5,Tienda_7_Marca_5,6
2024-06-18,SKU_58_Marca_5,Tienda_5_Marca_5,Tienda_7_Marca_5,7
2024-06-18,SKU_71_Marca_5,Tienda_2_Marca_5,Tienda_7_Marca_5,5
2024-06-18,SKU_1_Marca_5,Tienda_3_Marca_5,Tienda_8_Marca_5,4
2024-06-18,SKU_58_Marca_5,Tienda_2_Marca_5,Tienda_8_Marca_5,6
2024-06-18,SKU_61_Marca_5,Tienda_3_Marca_5,Tienda_8_Marca_5,5
2024-06-18,SKU_65_Marca_5,Tienda_1_Marca_5,Tienda_8_Marca_5,1
2024-06-18,SKU_71_Marca_5,Tienda_3_Marca_5,Tienda_8_Marca_5,8
2024-06-18,SKU_80_Marca_5,Tienda_1_Marca_5,Tienda_8_Marca_5,9
2024-06-18,SKU_74_Marca_6,Tienda_2_Marca_6,Tienda_3_Marca_6,9
2024-06-18,SKU_74_Marca_6,Tienda_1_Marca_6,Tienda_4_Marca_6,6
2024-06-18,SKU_74_Marca_6,Tienda_3_Marca_6,Tienda_6_Marca_6,8
2024-06-18,SKU_90_Marca_6,Tienda_1_Marca_6,Tienda_6_Marca_6,2
2024-06-18,SKU_6_Marca_6,Tienda_1_Marca_6,Tienda_7_Marca_6,2
2024-06-18,SKU_90_Marca_6,Tienda_1_Marca_6,Tienda_7_Marca_6,1
2024-06-18,SKU_6_Marca_6,Tienda_3_Marca_6,Tienda_8_Marca_6,3
2024-06-18,SKU_8_Marca_6,Tienda_3_Marca_6,Tienda_8_Marca_6,12
2024-06-18,SKU_38_Marca_6,Tienda_1_Marca_6,Tienda_8_Marca_6,4
2024-06-18,SKU_59_Marca_6,Tienda_1_Marca_6,Tienda_8_Marca_6,8
2024-06-18,SKU_60_Marca_6,Tienda_4_Marca_6,Tienda_8_Marca_6,2
2024-06-18,SKU_74_Marca_6,Tienda_4_Marca_6,Tienda_8_Marca_6,4
2024-06-18,SKU_90_Marca_6,Tienda_2_Marca_6,Tienda_8_Marca_6,1
2024-06-18,SKU_33_Marca_7,Tienda_2_Marca_7,Tienda_5_Marca_7,1
2024-06-18,SKU_51_Marca_7,Tienda_1_Marca_7,Tienda_5_Marca_7,1
2024-06-18,SKU_51_Marca_7,Tienda_2_Marca_7,Tienda_6_Marca_7,1
2024-06-18,SKU_37_Marca_7,Tienda_5_Marca_7,Tienda_7_Marca_7,4
2024-06-18,SKU_7_Marca_7,Tienda_1_Marca_7,Tienda_8_Marca_7,2
2024-06-18,SKU_11_Marca_7,Tienda_4_Marca_7,Tienda_8_Marca_7,7
2024-06-18,SKU_15_Marca_7,Tienda_7_Marca_7,Tienda_8_Marca_7,5
2024-06-18,SKU_23_Marca_7,Tienda_1_Marca_7,Tienda_8_Marca_7,1
2024-06-18,SKU_33_Marca_7,Tienda_1_Marca_7,Tienda_8_Marca_7,1
2024-06-18,SKU_37_Marca_7,Tienda_2_Marca_7,Tienda_8_Marca_7,6
2024-06-18,SKU_51_Marca_7,Tienda_2_Marca_7,Tienda_8_Marca_7,1
2024-06-18,SKU_55_Marca_7,Tienda_6_Marca_7,Tienda_8_Marca_7,2
2024-06-18,SKU_58_Marca_7,Tienda_1_Marca_7,Tienda_8_Marca_7,3
2024-06-18,SKU_79_Marca_7,Tienda_5_Marca_7,Tienda_8_Marca_7,5
2024-06-18,SKU_57_Marca_8,Tienda_2_Marca_8,Tienda_4_Marca_8,4
2024-06-18,SKU_57_Marca_8,Tienda_1_Marca_8,Tienda_5_Marca_8,1
2024-06-18,SKU_21_Marca_8,Tienda_4_Marca_8,Tienda_6_Marca_8,5
2024-06-18,SKU_52_Marca_8,Tienda_5_Marca_8,Tienda_6_Marca_8,2
2024-06-18,SKU_57_Marca_8,Tienda_3_Marca_8,Tienda_6_Marca_8,3
2024-06-18,SKU_4_Marca_8,Tienda_4_Marca_8,Tienda_7_Marca_8,4
2024-06-18,SKU_19_Marca_8,Tienda_2_Marca_8,Tienda_7_Marca_8,1
2024-06-18,SKU_52_Marca_8,Tienda_1_Marca_8,Tienda_7_Marca_8,4
2024-06-18,SKU_42_Marca_9,Tienda_4_Marca_9,Tienda_5_Marca_9,4
2024-06-18,SKU_68_Marca_9,Tienda_1_Marca_9,Tienda_5_Marca_9,9
2024-06-18,SKU_93_Marca_9,Tienda_2_Marca_9,Tienda_5_Marca_9,1
2024-06-18,SKU_63_Marca_9,Tienda_2_Marca_9,Tienda_6_Marca_9,1
2024-06-18,SKU_67_Marca_9,Tienda_1_Marca_9,Tienda_6_Marca_9,1
2024-06-18,SKU_68_Marca_9,Tienda_2_Marca_9,Tienda_6_Marca_9,6
2024-06-18,SKU_14_Marca_9,Tienda_4_Marca_9,Tienda_7_Marca_9,1
2024-06-18,SKU_29_Marca_9,Tienda_4_Marca_9,Tienda_7_Marca_9,2
2024-06-18,SKU_40_Marca_9,Tienda_1_Marca_9,Tienda_7_Marca_9,5
2024-06-18,SKU_42_Marca_9,Tienda_5_Marca_9,Tienda_7_Marca_9,2
2024-06-18,SKU_63_Marca_9,Tienda_2_Marca_9,Tienda_7_Marca_9,5
2024-06-18,SKU_67_Marca_9,Tienda_1_Marca_9,Tienda_7_Marca_9,8
2024-06-18,SKU_68_Marca_9,Tienda_3_Marca_9,Tienda_7_Marca_9,9
2024-06-18,SKU_85_Marca_9,Tienda_4_Marca_9,Tienda_7_Marca_9,7
2024-06-18,SKU_97_Marca_9,Tienda_3_Marca_9,Tienda_7_Marca_9,2
2024-06-18,SKU_78_Marca_10,Tienda_3_Marca_10,Tienda_4_Marca_10,3
2024-06-18,SKU_97_Marca_10,Tienda_1_Marca_10,Tienda_4_Marca_10,4
2024-06-18,SKU_97_Marca_10,Tienda_4_Marca_10,Tienda_5_Marca_10,5
2024-06-18,SKU_42_Marca_10,Tienda_3_Marca_10,Tienda_6_Marca_10,2
2024-06-18,SKU_8_Marca_10,Tienda_1_Marca_10,Tienda_7_Marca_10,13
2024-06-18,SKU_63_Marca_10,Tienda_3_Marca_10,Tienda_7_Marca_10,3
2024-06-18,SKU_95_Marca_10,Tienda_1_Marca_10,Tienda_7_Marca_10,6
2024-06-18,SKU_72_Marca_11,Tienda_3_Marca_11,Tienda_5_Marca_11,3
2024-06-18,SKU_93_Marca_11,Tienda_1_Marca_11,Tienda_5_Marca_11,1
2024-06-18,SKU_96_Marca_11,Tienda_1_Marca_11,Tienda_5_Marca_11,4
2024-06-18,SKU_35_Marca_11,Tienda_1_Marca_11,Tienda_6_Marca_11,9
2024-06-18,SKU_35_Marca_11,Tienda_2_Marca_11,Tienda_7_Marca_11,6
2024-06-18,SKU_55_Marca_11,Tienda_1_Marca_11,Tienda_7_Marca_11,5
2024-06-18,SKU_68_Marca_11,Tienda_2_Marca_11,Tienda_7_Marca_11,3
2024-06-18,SKU_96_Marca_11,Tienda_3_Marca_11,Tienda_7_Marca_11,1
2024-06-18,SKU_97_Marca_11,Tienda_4_Marca_11,Tienda_7_Marca_11,6
2024-06-18,SKU_47_Marca_12,Tienda_1_Marca_12,Tienda_4_Marca_12,3
2024-06-18,SKU_92_Marca_12,Tienda_1_Marca_12,Tienda_4_Marca_12,10
2024-06-18,SKU_63_Marca_12,Tienda_3_Marca_12,Tienda_6_Marca_12,2
2024-06-18,SKU_68_Marca_12,Tienda_2_Marca_12,Tienda_6_Marca_12,7
2024-06-18,SKU_92_Marca_12,Tienda_4_Marca_12,Tienda_6_Marca_12,8
2024-06-18,SKU_98_Marca_12,Tienda_1_Marca_12,Tienda_6_Marca_12,1
2024-06-18,SKU_33_Marca_12,Tienda_2_Marca_12,Tienda_7_Marca_12,1
2024-06-18,SKU_42_Marca_12,Tienda_3_Marca_12,Tienda_7_Marca_12,1
2024-06-18,SKU_56_Marca_12,Tienda_1_Marca_12,Tienda_7_Marca_12,1
2024-06-18,SKU_63_Marca_12,Tienda_2_Marca_12,Tienda_7_Marca_12,2
2024-06-18,SKU_68_Marca_12,Tienda_1_Marca_12,Tienda_7_Marca_12,7
2024-06-18,SKU_77_Marca_12,Tienda_2_Marca_12,Tienda_7_Marca_12,4
2024-06-18,SKU_82_Marca_12,Tienda_1_Marca_12,Tienda_7_Marca_12,2
2024-06-18,SKU_86_Marca_12,Tienda_1_Marca_12,Tienda_7_Marca_12,3
2024-06-18,SKU_92_Marca_12,Tienda_2_Marca_12,Tienda_7_Marca_12,5
2024-06-18,SKU_98_Marca_12,Tienda_1_Marca_12,Tienda_7_Marca_12,14
2024-06-18,SKU_94_Marca_13,Tienda_2_Marca_13,Tienda_3_Marca_13,2
2024-06-18,SKU_13_Marca_13,Tienda_1_Marca_13,Tienda_5_Marca_13,2
2024-06-18,SKU_33_Marca_13,Tienda_1_Marca_13,Tienda_5_Marca_13,2
2024-06-18,SKU_92_Marca_13,Tienda_3_Marca_13,Tienda_5_Marca_13,7
2024-06-18,SKU_94_Marca_13,Tienda_2_Marca_13,Tienda_5_Marca_13,5
2024-06-18,SKU_41_Marca_13,Tienda_2_Marca_13,Tienda_6_Marca_13,13
2024-06-18,SKU_92_Marca_13,Tienda_4_Marca_13,Tienda_6_Marca_13,11
2024-06-18,SKU_13_Marca_13,Tienda_1_Marca_13,Tienda_7_Marca_13,3
2024-06-18,SKU_33_Marca_13,Tienda_1_Marca_13,Tienda_7_Marca_13,1
2024-06-18,SKU_41_Marca_13,Tienda_1_Marca_13,Tienda_7_Marca_13,7
2024-06-18,SKU_55_Marca_13,Tienda_2_Marca_13,Tienda_7_Marca_13,3
2024-06-18,SKU_89_Marca_13,Tienda_3_Marca_13,Tienda_7_Marca_13,13
2024-06-18,SKU_92_Marca_13,Tienda_6_Marca_13,Tienda_7_Marca_13,10
2024-06-18,SKU_33_Marca_14,Tienda_3_Marca_14,Tienda_4_Marca_14,1
2024-06-18,SKU_85_Marca_14,Tienda_3_Marca_14,Tienda_4_Marca_14,1
2024-06-18,SKU_39_Marca_14,Tienda_1_Marca_14,Tienda_5_Marca_14,1
2024-06-18,SKU_47_Marca_14,Tienda_1_Marca_14,Tienda_5_Marca_14,6
2024-06-18,SKU_62_Marca_14,Tienda_4_Marca_14,Tienda_5_Marca_14,2
2024-06-18,SKU_85_Marca_14,Tienda_1_Marca_14,Tienda_5_Marca_14,5
2024-06-18,SKU_8_Marca_14,Tienda_1_Marca_14,Tienda_6_Marca_14,6
2024-06-18,SKU_47_Marca_14,Tienda_4_Marca_14,Tienda_6_Marca_14,11
2024-06-18,SKU_62_Marca_14,Tienda_3_Marca_14,Tienda_6_Marca_14,8
2024-06-18,SKU_82_Marca_14,Tienda_1_Marca_14,Tienda_6_Marca_14,1
2024-06-18,SKU_85_Marca_14,Tienda_2_Marca_14,Tienda_6_Marca_14,6
2024-06-18,SKU_8_Marca_14,Tienda_2_Marca_14,Tienda_7_Marca_14,12
2024-06-18,SKU_13_Marca_14,Tienda_1_Marca_14,Tienda_7_Marca_14,3
2024-06-18,SKU_39_Marca_14,Tienda_4_Marca_14,Tienda_7_Marca_14,1
2024-06-18,SKU_48_Marca_14,Tienda_1_Marca_14,Tienda_7_Marca_14,1
2024-06-18,SKU_62_Marca_14,Tienda_4_Marca_14,Tienda_7_Marca_14,9
2024-06-18,SKU_76_Marca_14,Tienda_1_Marca_14,Tienda_7_Marca_14,2
2024-06-18,SKU_82_Marca_14,Tienda_2_Marca_14,Tienda_7_Marca_14,2
2024-06-18,SKU_85_Marca_14,Tienda_3_Marca_14,Tienda_7_Marca_14,4
2024-06-18,SKU_100_Marca_14,Tienda_1_Marca_14,Tienda_7_Marca_14,8
2024-06-18,SKU_85_Marca_15,Tienda_2_Marca_15,Tienda_3_Marca_15,1
2024-06-18,SKU_45_Marca_15,Tienda_1_Marca_15,Tienda_4_Marca_15,3
2024-06-18,SKU_73_Marca_15,Tienda_1_Marca_15,Tienda_4_Marca_15,4
2024-06-18,SKU_85_Marca_15,Tienda_2_Marca_15,Tienda_4_Marca_15,2
2024-06-18,SKU_45_Marca_15,Tienda_4_Marca_15,Tienda_5_Marca_15,2
2024-06-18,SKU_85_Marca_15,Tienda_2_Marca_15,Tienda_5_Marca_15,2
2024-06-18,SKU_54_Marca_15,Tienda_3_Marca_15,Tienda_6_Marca_15,1
2024-06-18,SKU_64_Marca_15,Tienda_2_Marca_15,Tienda_6_Marca_15,7
2024-06-18,SKU_40_Marca_15,Tienda_3_Marca_15,Tienda_7_Marca_15,1
