Fecha_Inventario,SKU,Tienda,Inventario Antes,Inventario Despues,Fecha_Demanda,Marca,Demanda Esperada,Diferencia
2024-06-20,SKU_30_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,2,-1
2024-06-20,SKU_31_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,9,-8
2024-06-20,SKU_32_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,13,-13
2024-06-20,SKU_33_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_34_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,6,-4
2024-06-20,SKU_35_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,7,-6
2024-06-20,SKU_36_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_37_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,7,-6
2024-06-20,SKU_38_Marca_1,Tienda_1_Marca_1,6,0,2024-06-20,Marca_1,14,-8
2024-06-20,SKU_39_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,4,-3
2024-06-20,SKU_40_Marca_1,Tienda_1_Marca_1,4,0,2024-06-20,Marca_1,5,-1
2024-06-20,SKU_41_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,10,-10
2024-06-20,SKU_42_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_43_Marca_1,Tienda_1_Marca_1,5,0,2024-06-20,Marca_1,5,0
2024-06-20,SKU_44_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,15,-15
2024-06-20,SKU_45_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,5,-4
2024-06-20,SKU_46_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,3,-2
2024-06-20,SKU_47_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_48_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,2,-1
2024-06-20,SKU_49_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,2,0
2024-06-20,SKU_50_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_51_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_52_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_53_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,18,-18
2024-06-20,SKU_54_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_55_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,3,-2
2024-06-20,SKU_56_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_57_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,8,-7
2024-06-20,SKU_58_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_59_Marca_1,Tienda_1_Marca_1,3,0,2024-06-20,Marca_1,14,-11
2024-06-20,SKU_60_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_61_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_62_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,9,-9
2024-06-20,SKU_63_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_64_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_65_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,8,-6
2024-06-20,SKU_66_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_67_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_68_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,11,-11
2024-06-20,SKU_69_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,3,-2
2024-06-20,SKU_70_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,6,-4
2024-06-20,SKU_71_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,15,-15
2024-06-20,SKU_72_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_73_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,5,-3
2024-06-20,SKU_74_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,13,-11
2024-06-20,SKU_75_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_76_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,11,-9
2024-06-20,SKU_77_Marca_1,Tienda_1_Marca_1,3,0,2024-06-20,Marca_1,9,-6
2024-06-20,SKU_78_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_79_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_80_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_81_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_82_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,11,-11
2024-06-20,SKU_83_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_84_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,5,-4
2024-06-20,SKU_85_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_86_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,9,-9
2024-06-20,SKU_87_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_88_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_89_Marca_1,Tienda_1_Marca_1,5,0,2024-06-20,Marca_1,8,-3
2024-06-20,SKU_90_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,4,-2
2024-06-20,SKU_91_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_92_Marca_1,Tienda_1_Marca_1,6,0,2024-06-20,Marca_1,14,-8
2024-06-20,SKU_93_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_94_Marca_1,Tienda_1_Marca_1,3,0,2024-06-20,Marca_1,7,-4
2024-06-20,SKU_95_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_96_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_97_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,7,-5
2024-06-20,SKU_98_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,9,-9
2024-06-20,SKU_99_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_100_Marca_1,Tienda_1_Marca_1,4,0,2024-06-20,Marca_1,7,-3
2024-06-20,SKU_1_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_2_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_3_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_4_Marca_1,Tienda_2_Marca_1,5,0,2024-06-20,Marca_1,5,0
2024-06-20,SKU_5_Marca_1,Tienda_2_Marca_1,7,0,2024-06-20,Marca_1,7,0
2024-06-20,SKU_6_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_7_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,10,-10
2024-06-20,SKU_8_Marca_1,Tienda_2_Marca_1,3,0,2024-06-20,Marca_1,12,-9
2024-06-20,SKU_9_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,2,-1
2024-06-20,SKU_10_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_11_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,8,-7
2024-06-20,SKU_12_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_13_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,7,-6
2024-06-20,SKU_14_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,18,-18
2024-06-20,SKU_15_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,6,-5
2024-06-20,SKU_16_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_17_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_18_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,2,-1
2024-06-20,SKU_19_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_20_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_21_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_22_Marca_1,Tienda_2_Marca_1,5,0,2024-06-20,Marca_1,5,0
2024-06-20,SKU_23_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_24_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_25_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_26_Marca_1,Tienda_2_Marca_1,3,0,2024-06-20,Marca_1,9,-6
2024-06-20,SKU_27_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_28_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_29_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,18,-18
2024-06-20,SKU_30_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,4,-3
2024-06-20,SKU_31_Marca_1,Tienda_2_Marca_1,5,0,2024-06-20,Marca_1,5,0
2024-06-20,SKU_32_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,9,-9
2024-06-20,SKU_33_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_34_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,5,-3
2024-06-20,SKU_35_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,10,-9
2024-06-20,SKU_36_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_37_Marca_1,Tienda_2_Marca_1,3,0,2024-06-20,Marca_1,9,-6
2024-06-20,SKU_38_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,10,-9
2024-06-20,SKU_39_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,4,-2
2024-06-20,SKU_40_Marca_1,Tienda_2_Marca_1,4,0,2024-06-20,Marca_1,9,-5
2024-06-20,SKU_41_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,18,-18
2024-06-20,SKU_42_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_43_Marca_1,Tienda_2_Marca_1,3,0,2024-06-20,Marca_1,3,0
2024-06-20,SKU_44_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_45_Marca_1,Tienda_2_Marca_1,3,0,2024-06-20,Marca_1,3,0
2024-06-20,SKU_46_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,5,-3
2024-06-20,SKU_47_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_48_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_49_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,5,-3
2024-06-20,SKU_50_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,10,-10
2024-06-20,SKU_51_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_52_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_53_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,16,-16
2024-06-20,SKU_54_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,3,-2
2024-06-20,SKU_55_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_56_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,11,-11
2024-06-20,SKU_57_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_58_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_59_Marca_1,Tienda_2_Marca_1,3,0,2024-06-20,Marca_1,13,-10
2024-06-20,SKU_60_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_61_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_62_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,10,-10
2024-06-20,SKU_63_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_64_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_65_Marca_1,Tienda_2_Marca_1,5,0,2024-06-20,Marca_1,5,0
2024-06-20,SKU_66_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_67_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_68_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_69_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,6,-5
2024-06-20,SKU_70_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,7,-5
2024-06-20,SKU_71_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_72_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_73_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,9,-8
2024-06-20,SKU_74_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,8,-6
2024-06-20,SKU_75_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,2,-1
2024-06-20,SKU_76_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,8,-7
2024-06-20,SKU_77_Marca_1,Tienda_2_Marca_1,8,0,2024-06-20,Marca_1,8,0
2024-06-20,SKU_78_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_79_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_80_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_81_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_82_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_83_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,22,-22
2024-06-20,SKU_84_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_85_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_86_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_87_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_88_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_89_Marca_1,Tienda_2_Marca_1,5,0,2024-06-20,Marca_1,14,-9
2024-06-20,SKU_90_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,2,0
2024-06-20,SKU_91_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_92_Marca_1,Tienda_2_Marca_1,4,0,2024-06-20,Marca_1,12,-8
2024-06-20,SKU_93_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_94_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,5,-3
2024-06-20,SKU_95_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_96_Marca_1,Tienda_2_Marca_1,2,0,2024-06-20,Marca_1,4,-2
2024-06-20,SKU_97_Marca_1,Tienda_2_Marca_1,1,0,2024-06-20,Marca_1,5,-4
2024-06-20,SKU_98_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,13,-13
2024-06-20,SKU_99_Marca_1,Tienda_2_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_100_Marca_1,Tienda_2_Marca_1,5,0,2024-06-20,Marca_1,9,-4
2024-06-20,SKU_1_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_2_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,15,-15
2024-06-20,SKU_3_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_4_Marca_1,Tienda_3_Marca_1,3,0,2024-06-20,Marca_1,3,0
2024-06-20,SKU_5_Marca_1,Tienda_3_Marca_1,9,0,2024-06-20,Marca_1,10,-1
2024-06-20,SKU_6_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_7_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_8_Marca_1,Tienda_3_Marca_1,8,0,2024-06-20,Marca_1,8,0
2024-06-20,SKU_9_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_10_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_11_Marca_1,Tienda_3_Marca_1,2,0,2024-06-20,Marca_1,13,-11
2024-06-20,SKU_12_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_13_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_14_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_15_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,2,-1
2024-06-20,SKU_16_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_17_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,13,-13
2024-06-20,SKU_18_Marca_1,Tienda_3_Marca_1,2,0,2024-06-20,Marca_1,2,0
2024-06-20,SKU_19_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_20_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_21_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,0,0
2024-06-20,SKU_22_Marca_1,Tienda_3_Marca_1,2,0,2024-06-20,Marca_1,2,0
2024-06-20,SKU_23_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_24_Marca_1,Tienda_3_Marca_1,2,0,2024-06-20,Marca_1,2,0
2024-06-20,SKU_25_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_26_Marca_1,Tienda_3_Marca_1,8,0,2024-06-20,Marca_1,8,0
2024-06-20,SKU_27_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_28_Marca_1,Tienda_3_Marca_1,2,0,2024-06-20,Marca_1,2,0
2024-06-20,SKU_29_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_30_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_31_Marca_1,Tienda_3_Marca_1,4,0,2024-06-20,Marca_1,4,0
2024-06-20,SKU_32_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_33_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_34_Marca_1,Tienda_3_Marca_1,3,0,2024-06-20,Marca_1,3,0
2024-06-20,SKU_35_Marca_1,Tienda_3_Marca_1,5,0,2024-06-20,Marca_1,8,-3
2024-06-20,SKU_36_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_37_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,4,-3
2024-06-20,SKU_38_Marca_1,Tienda_3_Marca_1,4,0,2024-06-20,Marca_1,12,-8
2024-06-20,SKU_39_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_40_Marca_1,Tienda_3_Marca_1,3,0,2024-06-20,Marca_1,10,-7
2024-06-20,SKU_41_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,15,-15
2024-06-20,SKU_42_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,2,-2
2024-06-20,SKU_43_Marca_1,Tienda_3_Marca_1,6,0,2024-06-20,Marca_1,6,0
2024-06-20,SKU_44_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_45_Marca_1,Tienda_3_Marca_1,6,0,2024-06-20,Marca_1,6,0
2024-06-20,SKU_46_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,3,-2
2024-06-20,SKU_47_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,13,-13
2024-06-20,SKU_48_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_49_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,10,-9
2024-06-20,SKU_50_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,10,-10
2024-06-20,SKU_51_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,2,-1
2024-06-20,SKU_52_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_53_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_54_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_55_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,7,-7
2024-06-20,SKU_56_Marca_1,Tienda_3_Marca_1,0,0,2024-06-20,Marca_1,9,-9
2024-06-20,SKU_57_Marca_1,Tienda_3_Marca_1,1,0,2024-06-20,Marca_1,4,-3
