SKU,Marca,ID Orden de Compra,Fecha Orden de Compra,Fecha Recepcion Mercancia,Lead Time en Dias,Volumen Solicitado,Volumen Recibido,Fiabilidad
SKU_11_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,701,678,96.71897289586305
SKU_11_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,574,459,79.96515679442508
SKU_11_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-15,2,680,641,94.26470588235294
SKU_11_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,578,473,81.83391003460207
SKU_11_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-16,3,873,806,92.32531500572738
SKU_11_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-14,1,2069,1690,81.68197196713388
SKU_11_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-16,3,2473,2185,88.35422563687828
SKU_11_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,722,620,85.87257617728532
SKU_11_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,930,797,85.69892473118279
SKU_11_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-15,2,598,504,84.2809364548495
SKU_11_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-16,3,1041,850,81.65225744476466
SKU_11_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,709,604,85.1904090267983
SKU_11_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-16,3,671,607,90.46199701937407
SKU_12_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-14,1,505,468,92.67326732673268
SKU_12_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,245,237,96.73469387755102
SKU_12_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,191,168,87.95811518324608
SKU_12_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-16,3,174,165,94.82758620689656
SKU_12_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-15,2,284,266,93.66197183098592
SKU_12_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-16,3,224,199,88.83928571428571
SKU_12_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-16,3,216,186,86.11111111111111
SKU_12_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-16,3,503,457,90.85487077534792
SKU_12_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-14,1,688,604,87.79069767441861
SKU_12_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,217,196,90.32258064516128
SKU_12_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,268,259,96.64179104477611
SKU_12_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,142,139,97.88732394366197
SKU_12_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-16,3,233,200,85.83690987124464
SKU_12_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,195,184,94.35897435897435
SKU_12_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-15,2,199,191,95.97989949748744
SKU_13_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-16,3,975,937,96.1025641025641
SKU_13_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-14,1,402,393,97.76119402985076
SKU_13_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,261,234,89.65517241379311
SKU_13_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-16,3,530,513,96.79245283018868
SKU_13_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,614,516,84.03908794788273
SKU_13_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-16,3,442,355,80.31674208144797
SKU_13_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,466,454,97.42489270386267
SKU_13_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,1272,1108,87.10691823899371
SKU_13_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1508,1314,87.13527851458885
SKU_13_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-16,3,699,577,82.54649499284692
SKU_13_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-15,2,559,447,79.96422182468694
SKU_13_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-15,2,472,412,87.28813559322035
SKU_13_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-16,3,698,629,90.11461318051576
SKU_13_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,407,355,87.22358722358723
SKU_13_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-15,2,497,431,86.72032193158954
SKU_14_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-15,2,1830,1602,87.54098360655738
SKU_14_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-14,1,737,723,98.10040705563094
SKU_14_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-15,2,614,607,98.8599348534202
SKU_14_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,868,787,90.66820276497695
SKU_14_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,703,636,90.46941678520626
SKU_14_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-16,3,915,903,98.68852459016394
SKU_14_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-15,2,670,554,82.68656716417911
SKU_14_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-14,1,2530,2103,83.12252964426877
SKU_14_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1724,1723,99.94199535962876
SKU_14_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,917,889,96.94656488549617
SKU_14_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,1153,1020,88.46487424111015
SKU_14_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-15,2,746,722,96.7828418230563
SKU_14_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,934,858,91.86295503211991
SKU_14_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-14,1,642,582,90.65420560747664
SKU_14_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-16,3,976,825,84.52868852459017
SKU_15_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-15,2,624,581,93.10897435897436
SKU_15_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-15,2,185,163,88.10810810810811
SKU_15_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-15,2,119,115,96.63865546218487
SKU_15_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-16,3,291,264,90.72164948453609
SKU_15_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,183,180,98.36065573770492
SKU_15_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-14,1,231,221,95.67099567099568
SKU_15_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,138,118,85.5072463768116
SKU_15_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,606,513,84.65346534653465
SKU_15_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-14,1,499,494,98.99799599198397
SKU_15_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,171,166,97.07602339181285
SKU_15_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-16,3,197,194,98.47715736040608
SKU_15_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-14,1,269,220,81.78438661710037
SKU_15_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,325,270,83.07692307692308
SKU_15_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,145,137,94.48275862068965
SKU_15_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-14,1,132,126,95.45454545454545
SKU_16_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-16,3,1295,1072,82.77992277992277
SKU_16_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-15,2,415,386,93.01204819277108
SKU_16_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-15,2,577,548,94.97400346620451
SKU_16_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-16,3,534,501,93.82022471910112
SKU_16_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-14,1,401,331,82.54364089775561
SKU_16_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-14,1,409,396,96.82151589242054
SKU_16_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,483,470,97.30848861283644
SKU_16_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,1530,1311,85.68627450980392
SKU_16_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1251,1150,91.92645883293366
SKU_16_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,471,425,90.23354564755839
SKU_16_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,510,441,86.47058823529412
SKU_16_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-14,1,494,438,88.66396761133603
SKU_16_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,564,517,91.66666666666666
SKU_16_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-16,3,673,609,90.49034175334324
SKU_16_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-14,1,507,448,88.3629191321499
SKU_17_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-16,3,2462,2110,85.70268074735988
SKU_17_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-15,2,568,566,99.64788732394366
SKU_17_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-15,2,809,735,90.85290482076638
SKU_17_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-15,2,637,578,90.73783359497645
SKU_17_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-14,1,900,828,92.0
SKU_17_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-16,3,727,606,83.35625859697386
SKU_17_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-15,2,657,605,92.08523592085236
SKU_17_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-16,3,2142,2109,98.45938375350141
SKU_17_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1887,1618,85.74456809750927
SKU_17_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-16,3,1021,853,83.54554358472086
SKU_17_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-16,3,587,497,84.66780238500851
SKU_17_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-15,2,988,864,87.4493927125506
SKU_17_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,834,773,92.68585131894484
SKU_17_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-16,3,663,582,87.78280542986425
SKU_17_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-15,2,667,666,99.85007496251875
SKU_18_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-16,3,503,491,97.61431411530815
SKU_18_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,171,167,97.6608187134503
SKU_18_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,111,96,86.48648648648648
SKU_18_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,150,137,91.33333333333333
SKU_18_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-14,1,168,165,98.21428571428571
SKU_18_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-14,1,193,169,87.56476683937824
SKU_18_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-16,3,181,160,88.39779005524862
SKU_18_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,490,402,82.0408163265306
SKU_18_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-16,3,686,656,95.6268221574344
SKU_18_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,215,174,80.93023255813954
SKU_18_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-15,2,291,247,84.87972508591065
SKU_18_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-14,1,191,161,84.29319371727748
SKU_18_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-15,2,211,176,83.41232227488152
SKU_18_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-14,1,191,170,89.00523560209425
SKU_18_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-15,2,186,177,95.16129032258065
SKU_19_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-16,3,1537,1357,88.28887443070917
SKU_19_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-15,2,493,487,98.78296146044624
SKU_19_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-16,3,539,475,88.12615955473099
SKU_19_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,467,426,91.22055674518201
SKU_19_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,499,424,84.96993987975952
SKU_19_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,514,478,92.99610894941634
SKU_19_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,583,572,98.11320754716981
SKU_19_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-14,1,1057,898,84.95742667928099
SKU_19_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1492,1203,80.63002680965148
SKU_19_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-16,3,467,456,97.64453961456103
SKU_19_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,606,594,98.01980198019803
SKU_19_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,625,509,81.44
SKU_19_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-16,3,433,396,91.45496535796767
SKU_19_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-14,1,543,477,87.84530386740332
SKU_19_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-15,2,442,397,89.81900452488688
SKU_1_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-15,2,1410,1134,80.42553191489363
SKU_1_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-15,2,457,387,84.68271334792122
SKU_1_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,483,471,97.51552795031056
SKU_1_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,559,479,85.68872987477639
SKU_1_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,526,457,86.88212927756655
SKU_1_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-16,3,524,520,99.23664122137404
SKU_1_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,477,474,99.37106918238993
SKU_1_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-16,3,1221,1023,83.78378378378379
SKU_1_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1394,1211,86.87230989956959
SKU_1_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-14,1,661,627,94.85627836611195
SKU_1_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-15,2,537,433,80.63314711359403
SKU_1_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-15,2,506,498,98.41897233201581
SKU_1_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,464,433,93.31896551724138
SKU_1_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,431,396,91.87935034802784
SKU_1_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-14,1,547,485,88.6654478976234
SKU_20_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-15,2,2482,2248,90.57211925866237
SKU_20_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,873,730,83.61970217640321
SKU_20_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-15,2,838,784,93.55608591885442
SKU_20_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-16,3,474,435,91.77215189873418
SKU_20_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,587,508,86.54173764906304
SKU_20_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,537,510,94.97206703910615
SKU_20_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,1060,972,91.69811320754717
SKU_20_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,2002,1903,95.05494505494505
SKU_20_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-14,1,2650,2236,84.37735849056604
SKU_20_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-16,3,709,666,93.93511988716502
SKU_20_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,1037,970,93.53905496624878
SKU_20_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,949,798,84.08851422550052
SKU_20_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-16,3,535,432,80.74766355140187
SKU_20_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,739,637,86.19756427604871
SKU_20_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-16,3,960,853,88.85416666666667
SKU_21_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-15,2,547,442,80.80438756855575
SKU_21_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-15,2,207,186,89.85507246376811
SKU_21_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-16,3,229,187,81.6593886462882
SKU_21_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,243,225,92.5925925925926
SKU_21_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,221,180,81.44796380090497
SKU_21_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,131,120,91.6030534351145
SKU_21_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,237,200,84.38818565400844
SKU_21_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,770,755,98.05194805194806
SKU_21_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-16,3,538,433,80.48327137546468
SKU_21_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-16,3,207,171,82.6086956521739
SKU_21_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-16,3,211,174,82.46445497630332
SKU_21_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,211,200,94.7867298578199
SKU_21_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,261,212,81.22605363984674
SKU_21_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-16,3,235,202,85.95744680851064
SKU_21_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-15,2,177,155,87.57062146892656
SKU_22_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-15,2,1106,1092,98.73417721518987
SKU_22_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-14,1,401,388,96.75810473815461
SKU_22_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-16,3,327,304,92.96636085626912
SKU_22_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,498,443,88.95582329317268
SKU_22_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-14,1,401,335,83.54114713216958
SKU_22_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,386,318,82.38341968911918
SKU_22_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,471,404,85.77494692144374
SKU_22_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,1329,1150,86.53122648607976
SKU_22_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1170,951,81.28205128205128
SKU_22_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,593,487,82.1247892074199
SKU_22_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-16,3,507,479,94.47731755424064
SKU_22_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,472,426,90.2542372881356
SKU_22_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,644,574,89.13043478260869
SKU_22_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-14,1,437,409,93.59267734553775
SKU_22_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-14,1,466,438,93.99141630901288
SKU_23_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-14,1,2011,1717,85.38040775733467
SKU_23_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,733,653,89.08594815825374
SKU_23_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,859,730,84.98253783469151
SKU_23_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-15,2,649,642,98.92141756548536
SKU_23_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,700,586,83.71428571428572
SKU_23_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,849,771,90.81272084805654
SKU_23_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,633,527,83.25434439178515
SKU_23_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-16,3,2229,1862,83.5352175863616
SKU_23_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-16,3,2231,2158,96.72792469744509
SKU_23_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,888,880,99.09909909909909
SKU_23_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-16,3,969,847,87.40970072239422
SKU_23_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-15,2,746,696,93.2975871313673
SKU_23_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,876,707,80.70776255707763
SKU_23_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,725,720,99.3103448275862
SKU_23_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-16,3,561,453,80.74866310160428
SKU_24_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-16,3,469,468,99.7867803837953
SKU_24_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,226,222,98.23008849557522
SKU_24_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-15,2,246,239,97.15447154471545
SKU_24_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-15,2,251,232,92.43027888446214
SKU_24_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-14,1,240,235,97.91666666666666
SKU_24_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-14,1,270,254,94.07407407407408
SKU_24_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-16,3,188,175,93.08510638297872
SKU_24_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-16,3,476,445,93.4873949579832
SKU_24_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-16,3,557,486,87.25314183123878
SKU_24_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-16,3,155,131,84.51612903225806
SKU_24_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,196,178,90.81632653061224
SKU_24_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,316,308,97.46835443037975
SKU_24_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-15,2,138,132,95.65217391304348
SKU_24_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-16,3,193,166,86.01036269430051
SKU_24_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-16,3,208,182,87.5
SKU_25_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-14,1,1501,1290,85.94270486342438
SKU_25_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,684,621,90.78947368421053
SKU_25_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-15,2,562,533,94.83985765124555
SKU_25_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-16,3,461,399,86.55097613882863
SKU_25_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-16,3,314,271,86.30573248407643
SKU_25_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,412,390,94.66019417475728
SKU_25_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,525,508,96.76190476190476
SKU_25_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-16,3,1299,1169,89.99230177059276
SKU_25_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-16,3,1292,1203,93.11145510835914
SKU_25_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-14,1,554,520,93.86281588447653
SKU_25_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-15,2,510,467,91.56862745098039
SKU_25_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,628,596,94.90445859872611
SKU_25_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-15,2,385,323,83.8961038961039
SKU_25_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-16,3,510,411,80.58823529411765
SKU_25_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-16,3,513,445,86.74463937621833
